id_y	pert_type_y	id_x	score	pert_iname_x	pert_iname_y	pert_type_x
HMGCR	trt_cp	BRD-A70155556	99.8138	lovastatin	HMGCR	trt_cp
HMGCR	trt_cp	BRD-K57080016	99.6888	selumetinib	HMGCR	trt_cp
HMGCR	trt_cp	CGS001-5295	99.6643	PIK3R1	HMGCR	trt_sh.cgs
HMGCR	trt_cp	CGS001-4436	99.3887	MSH2	HMGCR	trt_sh.cgs
HMGCR	trt_cp	BRD-K85606544	99.3733	neratinib	HMGCR	trt_cp
HMGCR	trt_cp	BRD-K34581968	99.2157	BMS-536924	HMGCR	trt_cp
HMGCR	trt_cp	BRD-K13049116	99.1764	BMS-754807	HMGCR	trt_cp
HMGCR	trt_cp	CGS001-10628	99.0286	TXNIP	HMGCR	trt_sh.cgs
HMGCR	trt_cp	BRD-A81772229	98.9547	simvastatin	HMGCR	trt_cp
HMGCR	trt_cp	BRD-K08219523	98.8308	5-nonyloxytryptamine	HMGCR	trt_cp
HMGCR	trt_cp	BRD-K73293050	98.7588	WZ-3146	HMGCR	trt_cp
HMGCR	trt_cp	CGS001-23483	98.6631	TGDS	HMGCR	trt_sh.cgs
HMGCR	trt_cp	BRD-K94441233	98.6567	mevastatin	HMGCR	trt_cp
HMGCR	trt_cp	CGS001-22828	98.6533	SCAF8	HMGCR	trt_sh.cgs
HMGCR	trt_cp	BRD-A19633847	98.5896	perhexiline	HMGCR	trt_cp
HMGCR	trt_cp	BRD-K94390040	98.5413	BRD-K94390040	HMGCR	trt_cp
HMGCR	trt_cp	BRD-K66175015	98.43700000000001	afatinib	HMGCR	trt_cp
HMGCR	trt_cp	BRD-K05653692	98.416	DL-PDMP	HMGCR	trt_cp
HMGCR	trt_cp	CGS001-673	98.3383	BRAF	HMGCR	trt_sh.cgs
HMGCR	trt_cp	BRD-K46056750	98.1018	AZD-7762	HMGCR	trt_cp
HMGCR	trt_cp	BRD-A18763547	98.0182	BAX-channel-blocker	HMGCR	trt_cp
HMGCR	trt_cp	CGS001-2115	98.0064	ETV1	HMGCR	trt_sh.cgs
HMGCR	trt_cp	BRD-K03618428	97.9488	PP-110	HMGCR	trt_cp
HMGCR	trt_cp	BRD-K69328504	97.8867	L-690488	HMGCR	trt_cp
HMGCR	trt_cp	BRD-K20285085	97.8587	fostamatinib	HMGCR	trt_cp
HMGCR	trt_cp	BRD-K68588778	97.8241	BRD-K68588778	HMGCR	trt_cp
HMGCR	trt_cp	BRD-K53414658	97.7664	tivozanib	HMGCR	trt_cp
HMGCR	trt_cp	BRD-K12906962	97.7521	dichlorobenzamil	HMGCR	trt_cp
HMGCR	trt_cp	BRD-K10882151	97.5895	BO2-inhibits-RAD51	HMGCR	trt_cp
HMGCR	trt_cp	CGS001-2172	97.4899	FABP6	HMGCR	trt_sh.cgs
HMGCR	trt_cp	BRD-K99964838	97.4491	bosutinib	HMGCR	trt_cp
HMGCR	trt_cp	BRD-K90999434	97.4312	BRD-K90999434	HMGCR	trt_cp
HMGCR	trt_cp	BRD-K49294207	97.4087	BIBU-1361	HMGCR	trt_cp
HMGCR	trt_cp	BRD-K87947369	97.3647	tozasertib	HMGCR	trt_cp
HMGCR	trt_cp	CGS001-9451	97.2901	EIF2AK3	HMGCR	trt_sh.cgs
HMGCR	trt_cp	CGS001-26292	97.2289	MYCBP	HMGCR	trt_sh.cgs
HMGCR	trt_cp	BRD-K70914287	97.1863	BIBX-1382	HMGCR	trt_cp
HMGCR	trt_cp	BRD-U43867373	97.1359	WH-4025	HMGCR	trt_cp
HMGCR	trt_cp	BRD-K95785537	97.1253	PP-2	HMGCR	trt_cp
HMGCR	trt_cp	BRD-K66296774	97.1155	fluvastatin	HMGCR	trt_cp
HMGCR	trt_cp	BRD-K06750613	97.0844	GSK-1059615	HMGCR	trt_cp
HMGCR	trt_cp	CGS001-8027	97.0663	STAM	HMGCR	trt_sh.cgs
HMGCR	trt_cp	CGS001-57448	97.0087	BIRC6	HMGCR	trt_sh.cgs
HMGCR	trt_cp	CGS001-435	96.9937	ASL	HMGCR	trt_sh.cgs
HMGCR	trt_cp	CGS001-390148	96.9895	OR5W2	HMGCR	trt_sh.cgs
HMGCR	trt_cp	BRD-K41895714	96.9077	AS-605240	HMGCR	trt_cp
HMGCR	trt_cp	BRD-K09549677	96.816	mibefradil	HMGCR	trt_cp
HMGCR	trt_cp	BRD-K89997465	96.6703	chlorpromazine	HMGCR	trt_cp
HMGCR	trt_cp	BRD-U37049823	96.5981	HG-6-64-01	HMGCR	trt_cp
HMGCR	trt_cp	BRD-K86930074	96.5697	cediranib	HMGCR	trt_cp
HMGCR	trt_cp	BRD-K45399554	96.5631	CAM-9-027-3	HMGCR	trt_cp
HMGCR	trt_cp	BRD-K19540840	96.5113	saracatinib	HMGCR	trt_cp
HMGCR	trt_cp	CGS001-1666	96.4856	DECR1	HMGCR	trt_sh.cgs
HMGCR	trt_cp	BRD-K09416995	96.1292	lovastatin	HMGCR	trt_cp
HMGCR	trt_cp	CGS001-4486	96.0992	MST1R	HMGCR	trt_sh.cgs
HMGCR	trt_cp	BRD-A43331270	95.95200000000001	niguldipine	HMGCR	trt_cp
HMGCR	trt_cp	CGS001-3845	95.9489	KRAS	HMGCR	trt_sh.cgs
HMGCR	trt_cp	CGS001-675	95.9178	BRCA2	HMGCR	trt_sh.cgs
HMGCR	trt_cp	BRD-K30097969	95.8242	pitavastatin	HMGCR	trt_cp
HMGCR	trt_cp	BRD-K60219430	95.7386	serdemetan	HMGCR	trt_cp
HMGCR	trt_cp	CGS001-51635	95.68700000000001	DHRS7	HMGCR	trt_sh.cgs
HMGCR	trt_cp	CGS001-1759	95.635	DNM1	HMGCR	trt_sh.cgs
HMGCR	trt_cp	CGS001-677	95.6236	ZFP36L1	HMGCR	trt_sh.cgs
HMGCR	trt_cp	CGS001-25976	95.6181	TIPARP	HMGCR	trt_sh.cgs
HMGCR	trt_cp	CGS001-23522	95.5748	KAT6B	HMGCR	trt_sh.cgs
HMGCR	trt_cp	BRD-K70792160	95.5478	10-DEBC	HMGCR	trt_cp
HMGCR	trt_cp	BRD-A11678676	95.4878	wortmannin	HMGCR	trt_cp
HMGCR	trt_cp	ccsbBroad304_02751	95.4768	SATB2	HMGCR	trt_oe
HMGCR	trt_cp	BRD-U88459701	95.3782	atorvastatin	HMGCR	trt_cp
HMGCR	trt_cp	CGS001-5927	95.2843	KDM5A	HMGCR	trt_sh.cgs
HMGCR	trt_cp	CGS001-1960	95.2007	EGR3	HMGCR	trt_sh.cgs
HMGCR	trt_cp	CGS001-10475	95.0818	TRIM38	HMGCR	trt_sh.cgs
HMGCR	trt_cp	BRD-A75409952	95.0303	wortmannin	HMGCR	trt_cp
HMGCR	trt_cp	CGS001-25	95.0238	ABL1	HMGCR	trt_sh.cgs
HMGCR	trt_cp	BRD-A06276885	95.0017	BRD-A06276885	HMGCR	trt_cp
HMGCR	trt_cp	CGS001-4221	94.993	MEN1	HMGCR	trt_sh.cgs
HMGCR	trt_cp	BRD-A22032524	94.9081	amlodipine	HMGCR	trt_cp
HMGCR	trt_cp	BRD-K50464341	94.8618	berbamine	HMGCR	trt_cp
HMGCR	trt_cp	BRD-K59369769	94.7863	tozasertib	HMGCR	trt_cp
HMGCR	trt_cp	BRD-K64881305	94.7583	ispinesib	HMGCR	trt_cp
HMGCR	trt_cp	BRD-K87343924	94.6947	wortmannin	HMGCR	trt_cp
HMGCR	trt_cp	BRD-K17743697	94.6427	KB-R7943	HMGCR	trt_cp
HMGCR	trt_cp	BRD-A62336480	94.5415	niguldipine	HMGCR	trt_cp
HMGCR	trt_cp	CGS001-90649	94.537	ZNF486	HMGCR	trt_sh.cgs
HMGCR	trt_cp	BRD-K04887706	94.48200000000001	AKT-inhibitor-1-2	HMGCR	trt_cp
HMGCR	trt_cp	BRD-K61829047	94.3951	7b-cis	HMGCR	trt_cp
HMGCR	trt_cp	BRD-K76840893	94.3743	RS-17053	HMGCR	trt_cp
HMGCR	trt_cp	CGS001-1499	94.3282	CTNNB1	HMGCR	trt_sh.cgs
HMGCR	trt_cp	CGS001-2956	94.2819	MSH6	HMGCR	trt_sh.cgs
HMGCR	trt_cp	CGS001-8202	94.2611	NCOA3	HMGCR	trt_sh.cgs
HMGCR	trt_cp	CGS001-387	94.2194	RHOA	HMGCR	trt_sh.cgs
HMGCR	trt_cp	BRD-K53903639	94.2056	CHEMBL-1222381	HMGCR	trt_cp
HMGCR	trt_cp	BRD-K05520923	94.1973	BRD-K05520923	HMGCR	trt_cp
HMGCR	trt_cp	CGS001-10460	94.1669	TACC3	HMGCR	trt_sh.cgs
HMGCR	trt_cp	CGS001-302	94.1255	ANXA2	HMGCR	trt_sh.cgs
HMGCR	trt_cp	CGS001-11168	94.11	PSIP1	HMGCR	trt_sh.cgs
HMGCR	trt_cp	CGS001-9900	94.1046	SV2A	HMGCR	trt_sh.cgs
HMGCR	trt_cp	BRD-K49328571	94.0859	dasatinib	HMGCR	trt_cp
HMGCR	trt_cp	BRD-K99818283	94.0686	PIK-90	HMGCR	trt_cp
HMGCR	trt_cp	CGS001-8804	94.044	CREG1	HMGCR	trt_sh.cgs
HMGCR	trt_cp	CGS001-8431	93.965	NR0B2	HMGCR	trt_sh.cgs
HMGCR	trt_cp	CGS001-1020	93.9245	CDK5	HMGCR	trt_sh.cgs
HMGCR	trt_cp	BRD-K14920963	93.8849	erythrosine	HMGCR	trt_cp
HMGCR	trt_cp	CGS001-1514	93.8624	CTSL1	HMGCR	trt_sh.cgs
HMGCR	trt_cp	BRD-K14618467	93.8355	IKK-16	HMGCR	trt_cp
HMGCR	trt_cp	BRD-A29901043	93.8247	KIN001-127	HMGCR	trt_cp
HMGCR	trt_cp	CGS001-11319	93.8161	ECD	HMGCR	trt_sh.cgs
HMGCR	trt_cp	CGS001-1615	93.8093	DARS	HMGCR	trt_sh.cgs
HMGCR	trt_cp	BRD-K62221994	93.7856	T-98475	HMGCR	trt_cp
HMGCR	trt_cp	BRD-K30677119	93.7664	PP-30	HMGCR	trt_cp
HMGCR	trt_cp	BRD-K77947974	93.6973	fluspirilene	HMGCR	trt_cp
HMGCR	trt_cp	BRD-K69932463	93.6861	AZD-8055	HMGCR	trt_cp
HMGCR	trt_cp	CGS001-27020	93.6385	NPTN	HMGCR	trt_sh.cgs
HMGCR	trt_cp	BRD-U25771771	93.5959	WZ-4-145	HMGCR	trt_cp
HMGCR	trt_cp	CGS001-10600	93.5298	USP16	HMGCR	trt_sh.cgs
HMGCR	trt_cp	CGS001-8446	93.5024	DUSP11	HMGCR	trt_sh.cgs
HMGCR	trt_cp	BRD-A19500257	93.4681	geldanamycin	HMGCR	trt_cp
HMGCR	trt_cp	BRD-K55070890	93.4542	thiothixene	HMGCR	trt_cp
HMGCR	trt_cp	CGS001-51274	93.4408	KLF3	HMGCR	trt_sh.cgs
HMGCR	trt_cp	CGS001-5252	93.32700000000001	PHF1	HMGCR	trt_sh.cgs
HMGCR	trt_cp	CGS001-7024	93.3028	TFCP2	HMGCR	trt_sh.cgs
HMGCR	trt_cp	BRD-K50140147	93.3025	NVP-TAE684	HMGCR	trt_cp
HMGCR	trt_cp	BRD-K02265150	93.2512	amoxapine	HMGCR	trt_cp
HMGCR	trt_cp	BRD-K70490179	93.2231	rimcazole	HMGCR	trt_cp
HMGCR	trt_cp	BRD-K02965346	93.1832	SU-11274	HMGCR	trt_cp
HMGCR	trt_cp	CGS001-6469	93.17	SHH	HMGCR	trt_sh.cgs
HMGCR	trt_cp	BRD-A84481105	93.1359	thioridazine	HMGCR	trt_cp
HMGCR	trt_cp	BRD-A68061604	93.0121	BRD-A68061604	HMGCR	trt_cp
HMGCR	trt_cp	CGS001-11340	93.01100000000001	EXOSC8	HMGCR	trt_sh.cgs
HMGCR	trt_cp	CGS001-2108	93.0045	ETFA	HMGCR	trt_sh.cgs
HMGCR	trt_cp	BRD-K61250553	92.9587	loperamide	HMGCR	trt_cp
HMGCR	trt_cp	BRD-A83326220	92.92	brazilin	HMGCR	trt_cp
HMGCR	trt_cp	BRD-K81473043	92.9115	tanespimycin	HMGCR	trt_cp
HMGCR	trt_cp	CGS001-6499	92.9024	SKIV2L	HMGCR	trt_sh.cgs
HMGCR	trt_cp	BRD-K85015012	92.9007	NNC-05-2090	HMGCR	trt_cp
HMGCR	trt_cp	CGS001-25801	92.8989	GCA	HMGCR	trt_sh.cgs
HMGCR	trt_cp	BRD-A50454580	92.8973	PD-0325901	HMGCR	trt_cp
HMGCR	trt_cp	CGS001-8462	92.8957	KLF11	HMGCR	trt_sh.cgs
HMGCR	trt_cp	BRD-K52850071	92.8546	JAK3-Inhibitor-II	HMGCR	trt_cp
HMGCR	trt_cp	CGS001-8566	92.8182	PDXK	HMGCR	trt_sh.cgs
HMGCR	trt_cp	BRD-K62965247	92.7732	tipifarnib-P2	HMGCR	trt_cp
HMGCR	trt_cp	CGS001-3685	92.7459	ITGAV	HMGCR	trt_sh.cgs
HMGCR	trt_cp	CGS001-3592	92.6977	IL12A	HMGCR	trt_sh.cgs
HMGCR	trt_cp	CGS001-2787	92.6936	GNG5	HMGCR	trt_sh.cgs
HMGCR	trt_cp	CGS001-3693	92.6653	ITGB5	HMGCR	trt_sh.cgs
HMGCR	trt_cp	CGS001-29079	92.5359	MED4	HMGCR	trt_sh.cgs
HMGCR	trt_cp	BRD-K50168500	92.5193	canertinib	HMGCR	trt_cp
HMGCR	trt_cp	CGS001-2885	92.4979	GRB2	HMGCR	trt_sh.cgs
HMGCR	trt_cp	BRD-K67868012	92.4866	PI-103	HMGCR	trt_cp
HMGCR	trt_cp	BRD-K97309399	92.4315	thiothixene	HMGCR	trt_cp
HMGCR	trt_cp	CGS001-3588	92.3388	IL10RB	HMGCR	trt_sh.cgs
HMGCR	trt_cp	BRD-K18724229	92.225	BRD-K18724229	HMGCR	trt_cp
HMGCR	trt_cp	BRD-K52911425	92.2023	GDC-0941	HMGCR	trt_cp
HMGCR	trt_cp	BRD-K15108141	92.1899	gemcitabine	HMGCR	trt_cp
HMGCR	trt_cp	CGS001-983	92.1695	CDK1	HMGCR	trt_sh.cgs
HMGCR	trt_cp	BRD-K41859756	92.1473	NVP-AUY922	HMGCR	trt_cp
HMGCR	trt_cp	CGS001-9770	92.0874	RASSF2	HMGCR	trt_sh.cgs
HMGCR	trt_cp	CGS001-39	92.0359	ACAT2	HMGCR	trt_sh.cgs
HMGCR	trt_cp	CGS001-10392	91.9962	NOD1	HMGCR	trt_sh.cgs
HMGCR	trt_cp	CGS001-11098	91.9861	PRSS23	HMGCR	trt_sh.cgs
