id_y	pert_type_y	id_x	score	pert_iname_x	pert_iname_y	pert_type_x
MEK	trt_cp	BRD-K57080016	99.9896	selumetinib	MEK	trt_cp
MEK	trt_cp	BRD-K41895714	99.6619	AS-605240	MEK	trt_cp
MEK	trt_cp	BRD-K49865102	99.5389	PD-0325901	MEK	trt_cp
MEK	trt_cp	BRD-K46419649	99.4762	U0126	MEK	trt_cp
MEK	trt_cp	BRD-K18787491	99.35	U-0126	MEK	trt_cp
MEK	trt_cp	BRD-A50454580	99.2032	PD-0325901	MEK	trt_cp
MEK	trt_cp	BRD-K89014967	99.1109	AS-703026	MEK	trt_cp
MEK	trt_cp	BRD-K05804044	98.9627	AZ-628	MEK	trt_cp
MEK	trt_cp	BRD-K12244279	98.883	MEK1-2-inhibitor	MEK	trt_cp
MEK	trt_cp	BRD-K05104363	98.7756	PD-184352	MEK	trt_cp
MEK	trt_cp	ccsbBroad304_01579	98.6937	SOX2	MEK	trt_oe
MEK	trt_cp	BRD-K34581968	98.6752	BMS-536924	MEK	trt_cp
MEK	trt_cp	BRD-K03618428	98.6048	PP-110	MEK	trt_cp
MEK	trt_cp	BRD-K53414658	98.4813	tivozanib	MEK	trt_cp
MEK	trt_cp	BRD-K20285085	98.2077	fostamatinib	MEK	trt_cp
MEK	trt_cp	BRD-K47598052	98.0371	PP-1	MEK	trt_cp
MEK	trt_cp	BRD-K85606544	97.9227	neratinib	MEK	trt_cp
MEK	trt_cp	BRD-U25771771	97.9059	WZ-4-145	MEK	trt_cp
MEK	trt_cp	BRD-K87947369	97.6858	tozasertib	MEK	trt_cp
MEK	trt_cp	BRD-K93725829	97.581	ERK-inhibitor-11E	MEK	trt_cp
MEK	trt_cp	BRD-K91701654	97.4078	U-0126	MEK	trt_cp
MEK	trt_cp	CGS001-1284	97.2819	COL4A2	MEK	trt_sh.cgs
MEK	trt_cp	BRD-K94176593	97.2469	TWS-119	MEK	trt_cp
MEK	trt_cp	BRD-K88677950	97.2263	PD-198306	MEK	trt_cp
MEK	trt_cp	CGS001-10892	97.1496	MALT1	MEK	trt_sh.cgs
MEK	trt_cp	CGS001-11319	96.90100000000001	ECD	MEK	trt_sh.cgs
MEK	trt_cp	ccsbBroad304_06130	96.8692	DUSP4	MEK	trt_oe
MEK	trt_cp	BRD-K46056750	96.4625	AZD-7762	MEK	trt_cp
MEK	trt_cp	ccsbBroad304_06131	96.3278	DUSP6	MEK	trt_oe
MEK	trt_cp	CGS001-6845	96.1191	VAMP7	MEK	trt_sh.cgs
MEK	trt_cp	BRD-K49328571	96.1136	dasatinib	MEK	trt_cp
MEK	trt_cp	BRD-K12502280	96.0641	TG-101348	MEK	trt_cp
MEK	trt_cp	CGS001-8243	95.9615	SMC1A	MEK	trt_sh.cgs
MEK	trt_cp	BRD-K22503835	95.749	scriptaid	MEK	trt_cp
MEK	trt_cp	BRD-K86930074	95.72399999999999	cediranib	MEK	trt_cp
MEK	trt_cp	CGS001-5501	95.6541	PPP1CC	MEK	trt_sh.cgs
MEK	trt_cp	BRD-K99964838	95.5446	bosutinib	MEK	trt_cp
MEK	trt_cp	CGS001-3845	95.4372	KRAS	MEK	trt_sh.cgs
MEK	trt_cp	BRD-K69840642	95.4101	ISOX	MEK	trt_cp
MEK	trt_cp	BRD-K50140147	95.3483	NVP-TAE684	MEK	trt_cp
MEK	trt_cp	BRD-K68202742	94.9972	trichostatin-a	MEK	trt_cp
MEK	trt_cp	BRD-U73238814	94.8953	QL-XI-92	MEK	trt_cp
MEK	trt_cp	BRD-K53903639	94.8881	CHEMBL-1222381	MEK	trt_cp
MEK	trt_cp	BRD-K73293050	94.869	WZ-3146	MEK	trt_cp
MEK	trt_cp	BRD-K92093830	94.729	doxorubicin	MEK	trt_cp
MEK	trt_cp	CGS001-80018	94.6775	NAA25	MEK	trt_sh.cgs
MEK	trt_cp	BRD-K17743125	94.5829	belinostat	MEK	trt_cp
MEK	trt_cp	CGS001-3815	94.5751	KIT	MEK	trt_sh.cgs
MEK	trt_cp	BRD-K62810658	94.4932	PD-98059	MEK	trt_cp
MEK	trt_cp	CGS001-149233	94.4821	IL23R	MEK	trt_sh.cgs
MEK	trt_cp	CGS001-8574	94.478	AKR7A2	MEK	trt_sh.cgs
MEK	trt_cp	CGS001-5604	94.476	MAP2K1	MEK	trt_sh.cgs
MEK	trt_cp	BRD-A19037878	94.4716	trichostatin-a	MEK	trt_cp
MEK	trt_cp	CGS001-4801	94.42299999999999	NFYB	MEK	trt_sh.cgs
MEK	trt_cp	BRD-K12867552	94.4187	THM-I-94	MEK	trt_cp
MEK	trt_cp	BRD-K23192422	94.31700000000001	lestaurtinib	MEK	trt_cp
MEK	trt_cp	BRD-K50168500	94.3047	canertinib	MEK	trt_cp
MEK	trt_cp	BRD-K67578145	94.2846	GDC-0879	MEK	trt_cp
MEK	trt_cp	CGS001-805	94.2242	CALM2	MEK	trt_sh.cgs
MEK	trt_cp	BRD-K70914287	94.1067	BIBX-1382	MEK	trt_cp
MEK	trt_cp	CGS001-2065	94.0435	ERBB3	MEK	trt_sh.cgs
MEK	trt_cp	CGS001-652	94.0126	BMP4	MEK	trt_sh.cgs
MEK	trt_cp	BRD-K13646352	93.9966	midostaurin	MEK	trt_cp
MEK	trt_cp	BRD-U37049823	93.9756	HG-6-64-01	MEK	trt_cp
MEK	trt_cp	CGS001-390148	93.969	OR5W2	MEK	trt_sh.cgs
MEK	trt_cp	BRD-K30097969	93.8734	pitavastatin	MEK	trt_cp
MEK	trt_cp	BRD-K95785537	93.7888	PP-2	MEK	trt_cp
MEK	trt_cp	ccsbBroad304_06102	93.671	DLX3	MEK	trt_oe
MEK	trt_cp	CGS001-478	93.54700000000001	ATP1A3	MEK	trt_sh.cgs
MEK	trt_cp	BRD-K41859756	93.4976	NVP-AUY922	MEK	trt_cp
MEK	trt_cp	BRD-K81473043	93.4957	tanespimycin	MEK	trt_cp
MEK	trt_cp	BRD-U29336476	93.4392	XMD-16144	MEK	trt_cp
MEK	trt_cp	BRD-K04548931	93.3464	pidorubicine	MEK	trt_cp
MEK	trt_cp	BRD-K69328504	93.2834	L-690488	MEK	trt_cp
MEK	trt_cp	CGS001-116519	93.2489	APOA5	MEK	trt_sh.cgs
MEK	trt_cp	CGS001-7444	93.2288	VRK2	MEK	trt_sh.cgs
MEK	trt_cp	BRD-K72238567	93.1799	fludarabine	MEK	trt_cp
MEK	trt_cp	BRD-K09499853	93.1711	KU-0060648	MEK	trt_cp
MEK	trt_cp	CGS001-3693	93.0612	ITGB5	MEK	trt_sh.cgs
MEK	trt_cp	CGS001-2623	93.0482	GATA1	MEK	trt_sh.cgs
MEK	trt_cp	CGS001-54681	92.9984	P4HTM	MEK	trt_sh.cgs
