id_y	pert_type_y	id_x	score	pert_iname_x	pert_iname_y	pert_type_x
PI3K-MTOR	trt_cp	BRD-K67566344	99.9349	KU-0063794	PI3K-MTOR	trt_cp
PI3K-MTOR	trt_cp	BRD-K69932463	99.93299999999999	AZD-8055	PI3K-MTOR	trt_cp
PI3K-MTOR	trt_cp	BRD-K12184916	99.9163	NVP-BEZ235	PI3K-MTOR	trt_cp
PI3K-MTOR	trt_cp	BRD-K03618428	99.8921	PP-110	PI3K-MTOR	trt_cp
PI3K-MTOR	trt_cp	BRD-K97365803	99.787	PI-828	PI3K-MTOR	trt_cp
PI3K-MTOR	trt_cp	BRD-K67075780	99.7741	TGX-115	PI3K-MTOR	trt_cp
PI3K-MTOR	trt_cp	BRD-K67868012	99.7257	PI-103	PI3K-MTOR	trt_cp
PI3K-MTOR	trt_cp	CGS001-2475	99.7103	MTOR	PI3K-MTOR	trt_sh.cgs
PI3K-MTOR	trt_cp	CGS001-27125	99.1356	AFF4	PI3K-MTOR	trt_sh.cgs
PI3K-MTOR	trt_cp	BRD-K34581968	99.1299	BMS-536924	PI3K-MTOR	trt_cp
PI3K-MTOR	trt_cp	CGS001-10797	99.0772	MTHFD2	PI3K-MTOR	trt_sh.cgs
PI3K-MTOR	trt_cp	CGS001-57521	98.9296	RPTOR	PI3K-MTOR	trt_sh.cgs
PI3K-MTOR	trt_cp	BRD-K77008974	98.8961	WYE-354	PI3K-MTOR	trt_cp
PI3K-MTOR	trt_cp	BRD-A62025033	98.838	temsirolimus	PI3K-MTOR	trt_cp
PI3K-MTOR	trt_cp	BRD-K47598052	98.762	PP-1	PI3K-MTOR	trt_cp
PI3K-MTOR	trt_cp	BRD-K20285085	98.7453	fostamatinib	PI3K-MTOR	trt_cp
PI3K-MTOR	trt_cp	BRD-K99818283	98.744	PIK-90	PI3K-MTOR	trt_cp
PI3K-MTOR	trt_cp	BRD-K94294671	98.689	OSI-027	PI3K-MTOR	trt_cp
PI3K-MTOR	trt_cp	BRD-K52911425	98.6676	GDC-0941	PI3K-MTOR	trt_cp
PI3K-MTOR	trt_cp	CGS001-4486	98.5601	MST1R	PI3K-MTOR	trt_sh.cgs
PI3K-MTOR	trt_cp	CGS001-50808	98.5194	AK3	PI3K-MTOR	trt_sh.cgs
PI3K-MTOR	trt_cp	CGS001-5621	98.1894	PRNP	PI3K-MTOR	trt_sh.cgs
PI3K-MTOR	trt_cp	CGS001-3845	98.1706	KRAS	PI3K-MTOR	trt_sh.cgs
PI3K-MTOR	trt_cp	BRD-K95785537	98.10799999999999	PP-2	PI3K-MTOR	trt_cp
PI3K-MTOR	trt_cp	BRD-A45498368	98.1008	WYE-125132	PI3K-MTOR	trt_cp
PI3K-MTOR	trt_cp	BRD-K06750613	98.0471	GSK-1059615	PI3K-MTOR	trt_cp
PI3K-MTOR	trt_cp	BRD-A11678676	98.0218	wortmannin	PI3K-MTOR	trt_cp
PI3K-MTOR	trt_cp	CGS001-83737	98.0203	ITCH	PI3K-MTOR	trt_sh.cgs
PI3K-MTOR	trt_cp	BRD-A79768653	97.7327	sirolimus	PI3K-MTOR	trt_cp
PI3K-MTOR	trt_cp	BRD-K27305650	97.6962	LY-294002	PI3K-MTOR	trt_cp
PI3K-MTOR	trt_cp	BRD-K30677119	97.6909	PP-30	PI3K-MTOR	trt_cp
PI3K-MTOR	trt_cp	BRD-K13049116	97.62899999999999	BMS-754807	PI3K-MTOR	trt_cp
PI3K-MTOR	trt_cp	BRD-K87343924	97.5807	wortmannin	PI3K-MTOR	trt_cp
PI3K-MTOR	trt_cp	BRD-A75409952	97.5015	wortmannin	PI3K-MTOR	trt_cp
PI3K-MTOR	trt_cp	ccsbBroad304_01579	97.4766	SOX2	PI3K-MTOR	trt_oe
PI3K-MTOR	trt_cp	CGS001-1019	97.4272	CDK4	PI3K-MTOR	trt_sh.cgs
PI3K-MTOR	trt_cp	CGS001-2115	97.4203	ETV1	PI3K-MTOR	trt_sh.cgs
PI3K-MTOR	trt_cp	BRD-K77286328	97.3649	reversine	PI3K-MTOR	trt_cp
PI3K-MTOR	trt_cp	CGS001-6446	97.1665	SGK1	PI3K-MTOR	trt_sh.cgs
PI3K-MTOR	trt_cp	CGS001-8243	97.1503	SMC1A	PI3K-MTOR	trt_sh.cgs
