id_y	pert_type_y	id_x	score	pert_iname_x	pert_iname_y	pert_type_x
glucocorticoid	trt_cp	CGS001-59286	98.7425	UBL5	glucocorticoid	trt_sh.cgs
glucocorticoid	trt_cp	BRD-K51575138	98.6182	TPCA-1	glucocorticoid	trt_cp
glucocorticoid	trt_cp	BRD-K62310379	98.556	fluticasone	glucocorticoid	trt_cp
glucocorticoid	trt_cp	ccsbBroad304_00520	98.267	ETV1	glucocorticoid	trt_oe
glucocorticoid	trt_cp	CGS001-80212	98.0182	CCDC92	glucocorticoid	trt_sh.cgs
glucocorticoid	trt_cp	BRD-K23875128	97.8791	RHO-kinase-inhibitor-III[rockout]	glucocorticoid	trt_cp
glucocorticoid	trt_cp	CGS001-10987	97.7155	COPS5	glucocorticoid	trt_sh.cgs
glucocorticoid	trt_cp	BRD-A69951442	97.4709	dexamethasone	glucocorticoid	trt_cp
glucocorticoid	trt_cp	CGS001-2593	97.4511	GAMT	glucocorticoid	trt_sh.cgs
glucocorticoid	trt_cp	BRD-A70449690	97.2627	forskolin	glucocorticoid	trt_cp
glucocorticoid	trt_cp	CGS001-4836	97.2156	NMT1	glucocorticoid	trt_sh.cgs
glucocorticoid	trt_cp	CGS001-1577	97.2126	CYP3A5	glucocorticoid	trt_sh.cgs
glucocorticoid	trt_cp	BRD-A02180903	97.0669	betamethasone	glucocorticoid	trt_cp
glucocorticoid	trt_cp	BRD-K80431395	97.038	triciribine	glucocorticoid	trt_cp
glucocorticoid	trt_cp	CGS001-7157	96.9971	TP53	glucocorticoid	trt_sh.cgs
glucocorticoid	trt_cp	CGS001-780	96.898	DDR1	glucocorticoid	trt_sh.cgs
glucocorticoid	trt_cp	CGS001-10400	96.8675	PEMT	glucocorticoid	trt_sh.cgs
glucocorticoid	trt_cp	CGS001-5435	96.8115	POLR2F	glucocorticoid	trt_sh.cgs
glucocorticoid	trt_cp	CGS001-54556	96.8049	ING3	glucocorticoid	trt_sh.cgs
glucocorticoid	trt_cp	CGS001-84722	96.7844	PSRC1	glucocorticoid	trt_sh.cgs
glucocorticoid	trt_cp	BRD-K78659596	96.5565	MLN-2238	glucocorticoid	trt_cp
glucocorticoid	trt_cp	BRD-K49577446	96.4795	flunisolide	glucocorticoid	trt_cp
glucocorticoid	trt_cp	CGS001-5813	96.4599	PURA	glucocorticoid	trt_sh.cgs
glucocorticoid	trt_cp	CGS001-2059	96.4355	EPS8	glucocorticoid	trt_sh.cgs
glucocorticoid	trt_cp	BRD-M64432851	96.286	sunitinib	glucocorticoid	trt_cp
glucocorticoid	trt_cp	BRD-K47635719	96.182	dexamethasone	glucocorticoid	trt_cp
glucocorticoid	trt_cp	BRD-K39188321	96.1628	betamethasone	glucocorticoid	trt_cp
glucocorticoid	trt_cp	CGS001-147948	96.0716	ZNF582	glucocorticoid	trt_sh.cgs
glucocorticoid	trt_cp	CGS001-8848	95.9345	TSC22D1	glucocorticoid	trt_sh.cgs
glucocorticoid	trt_cp	CGS001-596	95.89	BCL2	glucocorticoid	trt_sh.cgs
glucocorticoid	trt_cp	CGS001-9112	95.8833	MTA1	glucocorticoid	trt_sh.cgs
glucocorticoid	trt_cp	BRD-K56515112	95.8056	medrysone	glucocorticoid	trt_cp
glucocorticoid	trt_cp	BRD-K60230970	95.7768	MG-132	glucocorticoid	trt_cp
glucocorticoid	trt_cp	BRD-A13133631	95.7475	fluorometholone	glucocorticoid	trt_cp
glucocorticoid	trt_cp	BRD-A37780065	95.7153	triamcinolone	glucocorticoid	trt_cp
glucocorticoid	trt_cp	CGS001-6198	95.6942	RPS6KB1	glucocorticoid	trt_sh.cgs
glucocorticoid	trt_cp	CGS001-124583	95.6518	CANT1	glucocorticoid	trt_sh.cgs
glucocorticoid	trt_cp	CGS001-8834	95.437	TMEM11	glucocorticoid	trt_sh.cgs
glucocorticoid	trt_cp	BRD-K92241597	95.3721	tosedostat	glucocorticoid	trt_cp
glucocorticoid	trt_cp	CGS001-1611	95.3665	DAP	glucocorticoid	trt_sh.cgs
glucocorticoid	trt_cp	CGS001-6428	95.3551	SRSF3	glucocorticoid	trt_sh.cgs
glucocorticoid	trt_cp	CGS001-5577	95.2699	PRKAR2B	glucocorticoid	trt_sh.cgs
glucocorticoid	trt_cp	CGS001-27032	95.2235	ATP2C1	glucocorticoid	trt_sh.cgs
glucocorticoid	trt_cp	BRD-A42649439	95.2166	triciribine	glucocorticoid	trt_cp
glucocorticoid	trt_cp	CGS001-3665	95.1772	IRF7	glucocorticoid	trt_sh.cgs
glucocorticoid	trt_cp	CGS001-2745	94.7496	GLRX	glucocorticoid	trt_sh.cgs
glucocorticoid	trt_cp	CGS001-6046	94.7388	BRD2	glucocorticoid	trt_sh.cgs
glucocorticoid	trt_cp	CGS001-80349	94.6911	WDR61	glucocorticoid	trt_sh.cgs
glucocorticoid	trt_cp	CGS001-26149	94.6587	ZNF658	glucocorticoid	trt_sh.cgs
glucocorticoid	trt_cp	CGS001-9263	94.6226	STK17A	glucocorticoid	trt_sh.cgs
glucocorticoid	trt_cp	CGS001-7867	94.5834	MAPKAPK3	glucocorticoid	trt_sh.cgs
glucocorticoid	trt_cp	BRD-A78391468	94.5334	prednisolone	glucocorticoid	trt_cp
glucocorticoid	trt_cp	CGS001-8714	94.5167	ABCC3	glucocorticoid	trt_sh.cgs
glucocorticoid	trt_cp	CGS001-11014	94.5114	KDELR2	glucocorticoid	trt_sh.cgs
glucocorticoid	trt_cp	CGS001-56005	94.4816	C19ORF10	glucocorticoid	trt_sh.cgs
glucocorticoid	trt_cp	CGS001-3418	94.4153	IDH2	glucocorticoid	trt_sh.cgs
glucocorticoid	trt_cp	BRD-A46186775	94.0402	hydrocortisone	glucocorticoid	trt_cp
glucocorticoid	trt_cp	BRD-A75172220	94.0276	hydrocortisone	glucocorticoid	trt_cp
glucocorticoid	trt_cp	BRD-K88510285	94.0037	bortezomib	glucocorticoid	trt_cp
glucocorticoid	trt_cp	BRD-K51967704	93.8039	BIIB021	glucocorticoid	trt_cp
glucocorticoid	trt_cp	BRD-A17883755	93.6732	lenalidomide	glucocorticoid	trt_cp
glucocorticoid	trt_cp	CGS001-126823	93.6569	KLHDC9	glucocorticoid	trt_sh.cgs
glucocorticoid	trt_cp	CGS001-4907	93.6398	NT5E	glucocorticoid	trt_sh.cgs
glucocorticoid	trt_cp	CGS001-23212	93.567	RRS1	glucocorticoid	trt_sh.cgs
glucocorticoid	trt_cp	BRD-K28470988	93.5601	L-690330	glucocorticoid	trt_cp
glucocorticoid	trt_cp	CGS001-84547	93.5594	PGBD1	glucocorticoid	trt_sh.cgs
glucocorticoid	trt_cp	BRD-K94325918	93.5566	kinetin-riboside	glucocorticoid	trt_cp
glucocorticoid	trt_cp	CGS001-10682	93.5379	EBP	glucocorticoid	trt_sh.cgs
glucocorticoid	trt_cp	CGS001-10285	93.5033	SMNDC1	glucocorticoid	trt_sh.cgs
glucocorticoid	trt_cp	CGS001-57491	93.4779	AHRR	glucocorticoid	trt_sh.cgs
glucocorticoid	trt_cp	CGS001-10365	93.4175	KLF2	glucocorticoid	trt_sh.cgs
glucocorticoid	trt_cp	BRD-A92439610	93.4108	triamcinolone	glucocorticoid	trt_cp
glucocorticoid	trt_cp	BRD-A01643550	93.3207	prednisolone	glucocorticoid	trt_cp
glucocorticoid	trt_cp	CGS001-642	93.2763	BLMH	glucocorticoid	trt_sh.cgs
glucocorticoid	trt_cp	BRD-K60870698	93.0126	BRD-K60870698	glucocorticoid	trt_cp
glucocorticoid	trt_cp	BRD-M86331534	92.9983	pyrvinium-pamoate	glucocorticoid	trt_cp
glucocorticoid	trt_cp	CGS001-5450	92.9233	POU2AF1	glucocorticoid	trt_sh.cgs
glucocorticoid	trt_cp	CGS001-3932	92.8422	LCK	glucocorticoid	trt_sh.cgs
glucocorticoid	trt_cp	BRD-K09991945	92.6857	GSK-3-inhibitor-II	glucocorticoid	trt_cp
glucocorticoid	trt_cp	CGS001-10202	92.4375	DHRS2	glucocorticoid	trt_sh.cgs
glucocorticoid	trt_cp	CGS001-147807	92.4281	ZNF524	glucocorticoid	trt_sh.cgs
glucocorticoid	trt_cp	BRD-K32944375	92.4075	BRD-K32944375	glucocorticoid	trt_cp
glucocorticoid	trt_cp	BRD-K04695623	92.3956	BRD-K04695623	glucocorticoid	trt_cp
glucocorticoid	trt_cp	CGS001-3399	92.3823	ID3	glucocorticoid	trt_sh.cgs
glucocorticoid	trt_cp	CGS001-1956	92.355	EGFR	glucocorticoid	trt_sh.cgs
glucocorticoid	trt_cp	BRD-K17349619	92.2131	HLI-373	glucocorticoid	trt_cp
glucocorticoid	trt_cp	BRD-K61480498	92.2127	epoxycholesterol	glucocorticoid	trt_cp
glucocorticoid	trt_cp	BRD-K12502280	92.1428	TG-101348	glucocorticoid	trt_cp
glucocorticoid	trt_cp	CGS001-400	92.0829	ARL1	glucocorticoid	trt_sh.cgs
glucocorticoid	trt_cp	BRD-K84595254	92.0321	strophanthidin	glucocorticoid	trt_cp
glucocorticoid	trt_cp	CGS001-7076	92.0215	TIMP1	glucocorticoid	trt_sh.cgs
glucocorticoid	trt_cp	CGS001-9093	91.9948	DNAJA3	glucocorticoid	trt_sh.cgs
glucocorticoid	trt_cp	CGS001-11044	91.8867	PAPD7	glucocorticoid	trt_sh.cgs
glucocorticoid	trt_cp	CGS001-9988	91.8429	DMTF1	glucocorticoid	trt_sh.cgs
glucocorticoid	trt_cp	CGS001-51466	91.8386	EVL	glucocorticoid	trt_sh.cgs
glucocorticoid	trt_cp	CGS001-25	91.8352	ABL1	glucocorticoid	trt_sh.cgs
glucocorticoid	trt_cp	BRD-A15297126	91.8321	fluocinonide	glucocorticoid	trt_cp
glucocorticoid	trt_cp	BRD-A93424738	91.7724	dexamethasone	glucocorticoid	trt_cp
glucocorticoid	trt_cp	BRD-K38003476	91.7443	clocortolone	glucocorticoid	trt_cp
glucocorticoid	trt_cp	CGS001-4594	91.7339	MUT	glucocorticoid	trt_sh.cgs
glucocorticoid	trt_cp	BRD-K65814004	91.6679	diphenyleneiodonium	glucocorticoid	trt_cp
glucocorticoid	trt_cp	BRD-A55416093	91.6438	colforsin	glucocorticoid	trt_cp
glucocorticoid	trt_cp	CGS001-27154	91.6037	BRPF3	glucocorticoid	trt_sh.cgs
