id_y	pert_type_y	id_x	score	pert_iname_x	pert_iname_y	pert_type_x
proteasome	trt_cp	CGS001-5707	99.9547	PSMD1	proteasome	trt_sh.cgs
proteasome	trt_cp	BRD-K88510285	99.9246	bortezomib	proteasome	trt_cp
proteasome	trt_cp	CGS001-5682	99.7973	PSMA1	proteasome	trt_sh.cgs
proteasome	trt_cp	BRD-K78659596	99.7753	MLN-2238	proteasome	trt_cp
proteasome	trt_cp	CGS001-7415	99.7573	VCP	proteasome	trt_sh.cgs
proteasome	trt_cp	CGS001-3309	99.7264	HSPA5	proteasome	trt_sh.cgs
proteasome	trt_cp	BRD-K33551950	99.6598	radicicol	proteasome	trt_cp
proteasome	trt_cp	CGS001-5690	99.6511	PSMB2	proteasome	trt_sh.cgs
proteasome	trt_cp	BRD-K60230970	99.6183	MG-132	proteasome	trt_cp
proteasome	trt_cp	BRD-K92241597	99.6112	tosedostat	proteasome	trt_cp
proteasome	trt_cp	BRD-K74402642	99.5742	NSC-632839	proteasome	trt_cp
proteasome	trt_cp	BRD-K50234570	99.5691	EMF-bca1-16	proteasome	trt_cp
proteasome	trt_cp	BRD-K36007650	99.3259	puromycin	proteasome	trt_cp
proteasome	trt_cp	BRD-K37392901	99.2754	NSC-632839	proteasome	trt_cp
proteasome	trt_cp	CGS001-5693	99.2456	PSMB5	proteasome	trt_sh.cgs
proteasome	trt_cp	CGS001-5708	99.2354	PSMD2	proteasome	trt_sh.cgs
proteasome	trt_cp	BRD-A40431293	99.1625	BRD-A40431293	proteasome	trt_cp
proteasome	trt_cp	BRD-K82732294	99.1542	BRD-K82732294	proteasome	trt_cp
proteasome	trt_cp	BRD-K66884694	99.0656	BRD-K66884694	proteasome	trt_cp
proteasome	trt_cp	BRD-K06765193	99.0603	BRD-K06765193	proteasome	trt_cp
proteasome	trt_cp	CGS001-8894	99.0594	EIF2S2	proteasome	trt_sh.cgs
proteasome	trt_cp	BRD-K78599730	99.01299999999999	manumycin-a	proteasome	trt_cp
proteasome	trt_cp	CGS001-6428	98.9138	SRSF3	proteasome	trt_sh.cgs
proteasome	trt_cp	BRD-K33272502	98.9114	DG-041	proteasome	trt_cp
proteasome	trt_cp	CGS001-5684	98.863	PSMA3	proteasome	trt_sh.cgs
proteasome	trt_cp	CGS001-5709	98.8286	PSMD3	proteasome	trt_sh.cgs
proteasome	trt_cp	BRD-A28970875	98.7999	puromycin	proteasome	trt_cp
proteasome	trt_cp	BRD-K44366801	98.7281	BRD-K44366801	proteasome	trt_cp
proteasome	trt_cp	BRD-A50737080	98.7105	CGK-733	proteasome	trt_cp
proteasome	trt_cp	BRD-U08759356	98.6651	EI-346-erlotinib-analog	proteasome	trt_cp
proteasome	trt_cp	BRD-K07303502	98.625	arachidonyl-trifluoro-methane	proteasome	trt_cp
proteasome	trt_cp	BRD-K89930444	98.5193	AG-592	proteasome	trt_cp
proteasome	trt_cp	BRD-K36737713	98.4675	AG-957	proteasome	trt_cp
proteasome	trt_cp	BRD-K61033289	98.4636	15-delta-prostaglandin-j2	proteasome	trt_cp
proteasome	trt_cp	ccsbBroad304_00602	98.4605	SLC37A4	proteasome	trt_oe
proteasome	trt_cp	CGS001-4171	98.3994	MCM2	proteasome	trt_sh.cgs
proteasome	trt_cp	BRD-K94325918	98.382	kinetin-riboside	proteasome	trt_cp
proteasome	trt_cp	BRD-K41652870	98.3037	BRD-K41652870	proteasome	trt_cp
proteasome	trt_cp	CGS001-10939	98.2817	AFG3L2	proteasome	trt_sh.cgs
proteasome	trt_cp	BRD-K28366633	98.2575	BRD-K28366633	proteasome	trt_cp
proteasome	trt_cp	BRD-A49680073	98.2449	cucurbitacin-i	proteasome	trt_cp
proteasome	trt_cp	BRD-K21672174	98.2328	RO-28-1675	proteasome	trt_cp
proteasome	trt_cp	CGS001-1747	98.2013	DLX3	proteasome	trt_sh.cgs
proteasome	trt_cp	BRD-K15935639	98.057	z-leu3-VS	proteasome	trt_cp
proteasome	trt_cp	BRD-A63583287	97.9781	SA-1447005	proteasome	trt_cp
proteasome	trt_cp	CGS001-9817	97.9757	KEAP1	proteasome	trt_sh.cgs
proteasome	trt_cp	CGS001-5710	97.9348	PSMD4	proteasome	trt_sh.cgs
proteasome	trt_cp	BRD-K89224880	97.9258	BRD-K89224880	proteasome	trt_cp
proteasome	trt_cp	BRD-K36354764	97.9004	BRD-K36354764	proteasome	trt_cp
proteasome	trt_cp	BRD-K52075040	97.8949	cerulenin	proteasome	trt_cp
proteasome	trt_cp	BRD-K51290057	97.8785	SA-792709	proteasome	trt_cp
proteasome	trt_cp	CGS001-2896	97.8747	GRN	proteasome	trt_sh.cgs
proteasome	trt_cp	BRD-K07259155	97.8389	BRD-K07259155	proteasome	trt_cp
proteasome	trt_cp	BRD-A83326220	97.811	brazilin	proteasome	trt_cp
proteasome	trt_cp	CGS001-54850	97.7871	FBXL12	proteasome	trt_sh.cgs
proteasome	trt_cp	BRD-K94991378	97.7855	BRD-K94991378	proteasome	trt_cp
proteasome	trt_cp	BRD-K18163752	97.6821	BRD-K18163752	proteasome	trt_cp
proteasome	trt_cp	BRD-K10882151	97.6543	BO2-inhibits-RAD51	proteasome	trt_cp
proteasome	trt_cp	BRD-K00910650	97.64200000000001	BRD-K00910650	proteasome	trt_cp
proteasome	trt_cp	BRD-K60870698	97.6371	BRD-K60870698	proteasome	trt_cp
proteasome	trt_cp	CGS001-1314	97.5704	COPA	proteasome	trt_sh.cgs
proteasome	trt_cp	BRD-A28105619	97.5673	cucurbitacin-i	proteasome	trt_cp
proteasome	trt_cp	BRD-K13169950	97.5425	NSC-3852	proteasome	trt_cp
proteasome	trt_cp	BRD-K73395020	97.5344	SA-1478088	proteasome	trt_cp
proteasome	trt_cp	BRD-K24156250	97.4486	BRD-K24156250	proteasome	trt_cp
proteasome	trt_cp	CGS001-51070	97.3804	NOSIP	proteasome	trt_sh.cgs
proteasome	trt_cp	BRD-K51730347	97.3597	diphencyprone	proteasome	trt_cp
proteasome	trt_cp	BRD-K55722623	97.3275	BRD-K55722623	proteasome	trt_cp
proteasome	trt_cp	BRD-K77877933	97.3226	I-606061	proteasome	trt_cp
proteasome	trt_cp	BRD-K32896438	97.2721	BRD-K32896438	proteasome	trt_cp
proteasome	trt_cp	CGS001-221	97.2651	ALDH3B1	proteasome	trt_sh.cgs
proteasome	trt_cp	CGS001-5689	97.2361	PSMB1	proteasome	trt_sh.cgs
proteasome	trt_cp	CGS001-199777	97.2123	ZNF626	proteasome	trt_sh.cgs
proteasome	trt_cp	CGS001-5359	97.184	PLSCR1	proteasome	trt_sh.cgs
proteasome	trt_cp	BRD-K02822062	97.1296	CT-200783	proteasome	trt_cp
proteasome	trt_cp	CGS001-5688	97.1124	PSMA7	proteasome	trt_sh.cgs
proteasome	trt_cp	BRD-K95352812	97.0957	BRD-K95352812	proteasome	trt_cp
proteasome	trt_cp	BRD-K77547920	97.0892	BRD-K77547920	proteasome	trt_cp
proteasome	trt_cp	ccsbBroad304_00832	96.9873	IFNB1	proteasome	trt_oe
proteasome	trt_cp	BRD-K41859756	96.9817	NVP-AUY922	proteasome	trt_cp
proteasome	trt_cp	CGS001-9276	96.8852	COPB2	proteasome	trt_sh.cgs
proteasome	trt_cp	BRD-K31706415	96.8239	BRD-K31706415	proteasome	trt_cp
proteasome	trt_cp	BRD-K94493764	96.8038	BRD-K94493764	proteasome	trt_cp
proteasome	trt_cp	BRD-K69852452	96.7575	F-1566-0341	proteasome	trt_cp
proteasome	trt_cp	BRD-K69023402	96.7433	thapsigargin	proteasome	trt_cp
proteasome	trt_cp	BRD-K05153001	96.7391	BRD-K05153001	proteasome	trt_cp
proteasome	trt_cp	BRD-K42308740	96.7233	ST-056792	proteasome	trt_cp
proteasome	trt_cp	BRD-K08448573	96.723	BRD-K08448573	proteasome	trt_cp
proteasome	trt_cp	CGS001-10285	96.6708	SMNDC1	proteasome	trt_sh.cgs
proteasome	trt_cp	CGS001-8891	96.65700000000001	EIF2B3	proteasome	trt_sh.cgs
proteasome	trt_cp	BRD-A56020723	96.5879	CA-074-Me	proteasome	trt_cp
proteasome	trt_cp	CGS001-55229	96.5846	PANK4	proteasome	trt_sh.cgs
proteasome	trt_cp	CGS001-593	96.5398	BCKDHA	proteasome	trt_sh.cgs
proteasome	trt_cp	CGS001-81577	96.4997	GFOD2	proteasome	trt_sh.cgs
proteasome	trt_cp	BRD-K16533489	96.45100000000001	I-606051	proteasome	trt_cp
proteasome	trt_cp	BRD-K81651477	96.4402	parthenolide	proteasome	trt_cp
proteasome	trt_cp	BRD-A41250203	96.4236	GP-42	proteasome	trt_cp
proteasome	trt_cp	BRD-A75517195	96.4035	thiazolopyrimidine	proteasome	trt_cp
proteasome	trt_cp	ccsbBroad304_00833	96.397	IFNG	proteasome	trt_oe
proteasome	trt_cp	BRD-K86472598	96.3505	MD-II-051	proteasome	trt_cp
proteasome	trt_cp	BRD-K31912990	96.3359	CGP-71683	proteasome	trt_cp
proteasome	trt_cp	BRD-A41451487	96.3194	PK-11195	proteasome	trt_cp
proteasome	trt_cp	BRD-A17065207	96.319	brefeldin-a	proteasome	trt_cp
proteasome	trt_cp	CGS001-22796	96.318	COG2	proteasome	trt_sh.cgs
proteasome	trt_cp	CGS001-3925	96.2861	STMN1	proteasome	trt_sh.cgs
proteasome	trt_cp	CGS001-2767	96.2503	GNA11	proteasome	trt_sh.cgs
